filename,page_index,text_length_ocr,text_length_gt,character_accuracy,character_error_rate,sequence_similarity,jaccard_similarity,table_count_pred,table_count_ref,table_teds,table_structure_similarity,table_content_similarity,table_cell_accuracy,formula_count,formula_average_accuracy,formula_correct_count,composite_score
book_zh_GB14930.21994_extracted_page_4,4,1364,1638,0.788,0.212,0.7475,0.9254,0,0,,,,,1,0.5758,0,73.91
book_zh_GB149361994_extracted_page_7,7,604,729,0.6626,0.3374,0.6602,0.9157,0,0,,,,,4,0.1906,0,55.36
book_zh_GBT 50744-2011_extracted_page_67,67,622,567,0.755,0.245,0.8259,0.911,0,0,,,,,6,0.2728,0,64.37
book_zh_HGT51022016_extracted_page_12,12,675,695,0.8726,0.1274,0.8905,0.9732,1,1,100.0,1.0,1.0,1.0,2,0.5815,1,85.95
book_zh_JGJ1022003_extracted_page_27,27,779,758,0.8638,0.1362,0.8979,0.9512,0,0,,,,,12,0.2748,0,72.78
book_zh_JJD10031991_extracted_page_6,6,987,981,0.798,0.202,0.8699,0.9248,0,0,,,,,4,0.5438,0,73.93
book_zh_SYT57941993_extracted_page_3,3,1120,1223,0.8478,0.1522,0.8715,0.9209,0,0,,,,,8,0.2416,0,70.79
book_zh_TB100782001_extracted_page_21,21,860,1127,0.6835,0.3165,0.6834,0.9057,0,0,,,,,12,0.3353,1,60.31
book_zh_YDT10512018_extracted_page_30,30,173,191,0.9058,0.0942,0.9451,0.8361,1,1,100.0,1.0,1.0,1.0,6,0.5362,3,87.03
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_001,1,0,0,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_004,4,0,0,1.0,0.0,1.0,1.0,0,0,,,,,,,,100.0
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_006,6,95,209,0.4417,0.5583,0.6118,0.8065,1,1,100.0,1.0,1.0,1.0,,,,62.78
color_textbook_zhonggaokao_小学_13.人教新起点英语（4-5年级）_人教新起点五年级英语上册_课本_人教新起点英语5A电子课本_page_008,8,102,264,0.4032,0.5968,0.5464,0.8,1,0,0.0,0.0,0.0,0.0,,,,26.88
